shipping_id	previous_id	status	iso_rec	usually_called	reason
latin-shtokavian	latin-shtokavian	keep	hbs	Serbo-Croatian (Latin)	name never in question
leeuwarden-frisian	fy	renamed	fy	West Frisian	named for the place the variety is written, 2026
leon-breton	br	renamed	br	Breton	name collision accepted, 2026
ljubljana-slovene	sl	renamed	sl	Slovene	named for the place the variety is written, 2026
luxembourgish	lb	renamed	lb	Letzebuergesch	named for the place the variety is written, 2026
maastricht-limburgish	li	renamed	li	Limburgish	named for the place the variety is written, 2026
manila-tagalog	tl	renamed	tl	Tagalog, Filipino	named for the place the variety is written, 2026
medieval-latin	medieval-latin	keep	la	Church Latin	name never in question
valois-french	middle-french	renamed	frm	Middle French	dynasty pins the era, 2026
minsk-belarusian	be	renamed	be	Belarusian narkamauka	named for the place the variety is written, 2026
kottayam-malayalam	ml	renamed	ml	Malayalam	the print and prestige heart, 2026
kahnawake-mohawk	mohawk	renamed	moh	Mohawk, Kanien'keha	place from the mission imprints, 2026
moscow-russian	ru	renamed	ru	Russian	named for the place the variety is written, 2026
mysore-kannada	kn	renamed	kn	Kannada	named for the place the variety is written, 2026
naga-bikol	bcl	renamed	bcl	Central Bikol	named for the place the variety is written, 2026
vestland-norwegian	nn	renamed	nn	Nynorsk	the region that writes Nynorsk, 2026
ohrid-slavonic	old-church-slavonic	renamed	cu	Old Bulgarian, OCS	school of the norm, 2026
capetian-french	old-french	renamed	fro	Old French	dynasty pins the era, 2026
saga-norse	old-norse	renamed	non	Old Icelandic	named by text, 2026
oslo-norwegian	no	renamed	nb	Bokmal	named for the place the variety is written, 2026
oviedo-asturian	ast	renamed	ast	Asturian	named for the place the variety is written, 2026
palermo-sicilian	scn	renamed	scn	Sicilian	named for the place the variety is written, 2026
parisian-french	fr	renamed	fr	French	named for the place the variety is written, 2026
prague-czech	cs	renamed	cs	Czech	named for the place the variety is written, 2026
rio-portuguese	pt	renamed	pt	Portuguese	the wiki is majority-Brazilian, 2026
pune-marathi	mr	renamed	mr	Marathi	named for the place the variety is written, 2026
reykjavik-icelandic	is	renamed	is	Icelandic	named for the place the variety is written, 2026
riga-latvian	lv	renamed	lv	Latvian	named for the place the variety is written, 2026
uzhhorod-rusyn	rue	renamed	rue	Rusyn	Subcarpathian standard, Presov admixture kept, 2026
samogitian	bat-smg	renamed	sgs	Samogitian, Zemaitiu	named for the place the variety is written, 2026
varanasi-sanskrit	sanskrit	renamed	sa	Classical Sanskrit	seat of the grammar tradition, 2026
seoul-korean	ko	renamed	ko	Korean	named for the place the variety is written, 2026
skopje-macedonian	mk	renamed	mk	Macedonian	named for the place the variety is written, 2026
sofia-bulgarian	bg	renamed	bg	Bulgarian	named for the place the variety is written, 2026
stockholm-swedish	sv	renamed	sv	Swedish	named for the place the variety is written, 2026
sulaymaniyah-sorani	ckb	renamed	ckb	Sorani	named for the place the variety is written, 2026
surakarta-javanese	jv	renamed	jv	Javanese	named for the place the variety is written, 2026
tallinn-estonian	et	renamed	et	Estonian	named for the place the variety is written, 2026
vilnius-belarusian	be-tarask	renamed	be	Taraskievica	named where it spread from, 2026
tashkent-uzbek	uz	renamed	uz	Uzbek	named for the place the variety is written, 2026
tbilisi-georgian	ka	renamed	ka	Georgian	named for the place the variety is written, 2026
tehrani-persian	fa	renamed	fa	Persian, Farsi	named for the place the variety is written, 2026
tirana-albanian	sq	renamed	sq	Albanian (Tosk)	named for the place the variety is written, 2026
tokyo-japanese	ja	renamed	ja	Japanese	named for the place the variety is written, 2026
toulouse-occitan	oc	renamed	oc	Occitan	named for the place the variety is written, 2026
ufa-bashkir	ba	renamed	ba	Bashkir	named for the place the variety is written, 2026
ulaanbaatar-mongolian	mn	renamed	mn	Mongolian	named for the place the variety is written, 2026
valletta-maltese	mt	renamed	mt	Maltese	named for the place the variety is written, 2026
veps	vep	renamed	vep	Veps	named for the place the variety is written, 2026
vicipaedian-latin	la	renamed	la	Contemporary Latin	named for the place the variety is written, 2026
vigan-ilocano	ilo	renamed	ilo	Ilocano	named for the place the variety is written, 2026
vijayawada-telugu	te	renamed	te	Telugu	named for the place the variety is written, 2026
vilnius-yiddish	yi	renamed	yi	Yiddish (YIVO)	named for the place the variety is written, 2026
massachusett	wampanoag	renamed	wam	Massachusett, Natick	the tongue, not the people, 2026
warsaw-polish	pl	renamed	pl	Polish	named for the place the variety is written, 2026
yakutsk-sakha	sah	renamed	sah	Sakha, Yakut	named for the place the variety is written, 2026
yangon-burmese	my	renamed	my	Burmese	named for the place the variety is written, 2026
yerevan-armenian	hy	renamed	hy	Eastern Armenian	named for the place the variety is written, 2026
zanzibari-swahili	sw	renamed	sw	Swahili, Kiunguja	named for the place the variety is written, 2026
brussels-bulgarian	institutional-bulgarian	renamed	bg	EU institutional Bulgarian	the register's seat, 2026
brussels-croatian	institutional-croatian	renamed	hr	EU institutional Croatian	the register's seat, 2026
brussels-czech	institutional-czech	renamed	cs	EU institutional Czech	the register's seat, 2026
brussels-danish	institutional-danish	renamed	da	EU institutional Danish	the register's seat, 2026
brussels-dutch	institutional-dutch	renamed	nl	EU institutional Dutch	the register's seat, 2026
brussels-estonian	institutional-estonian	renamed	et	EU institutional Estonian	the register's seat, 2026
brussels-finnish	institutional-finnish	renamed	fi	EU institutional Finnish	the register's seat, 2026
brussels-french	institutional-french	renamed	fr	EU institutional French	the register's seat, 2026
brussels-german	institutional-german	renamed	de	EU institutional German	the register's seat, 2026
brussels-greek	institutional-greek	renamed	el	EU institutional Greek	the register's seat, 2026
brussels-hungarian	institutional-hungarian	renamed	hu	EU institutional Hungarian	the register's seat, 2026
brussels-irish	institutional-irish	renamed	ga	EU institutional Irish	the register's seat, 2026
brussels-italian	institutional-italian	renamed	it	EU institutional Italian	the register's seat, 2026
brussels-latvian	institutional-latvian	renamed	lv	EU institutional Latvian	the register's seat, 2026
brussels-lithuanian	institutional-lithuanian	renamed	lt	EU institutional Lithuanian	the register's seat, 2026
brussels-maltese	institutional-maltese	renamed	mt	EU institutional Maltese	the register's seat, 2026
brussels-polish	institutional-polish	renamed	pl	EU institutional Polish	the register's seat, 2026
brussels-portuguese	institutional-portuguese	renamed	pt	EU institutional Portuguese	the register's seat, 2026
brussels-romanian	institutional-romanian	renamed	ro	EU institutional Romanian	the register's seat, 2026
brussels-slovak	institutional-slovak	renamed	sk	EU institutional Slovak	the register's seat, 2026
brussels-slovene	institutional-slovene	renamed	sl	EU institutional Slovene	the register's seat, 2026
brussels-spanish	institutional-spanish	renamed	es	EU institutional Spanish	the register's seat, 2026
brussels-swedish	institutional-swedish	renamed	sv	EU institutional Swedish	the register's seat, 2026
washington-english	washington-sie	renamed	en	US legal-institutional English	confirmed, 2026
commonwealth-english	commonwealth-sie	renamed	en	UK and Commonwealth institutional English	confirmed, 2026
